metric,variant,total_pairs,concordant_pairs,discordant_pairs,tie_pairs,kendall_tau,source_lang
litransproqa,participant_strict,772,110,206,456,-0.12435233160621761,
metricx-qe,participant_strict,770,356,414,0,-0.07532467532467532,
litransproqa,litransproqa_similar_quality_as_tie,772,61,159,552,-0.12694300518134716,
litransproqa,chunk_majority,386,26,74,286,-0.12435233160621761,
metricx-qe,chunk_majority,385,108,137,140,-0.07532467532467532,
litransproqa,human_agreed_chunks_strict,246,26,74,146,-0.1951219512195122,
metricx-qe,human_agreed_chunks_strict,245,108,137,0,-0.11836734693877551,
litransproqa,human_agreed_chunks_litransproqa_similar_quality_as_tie,246,15,56,175,-0.16666666666666666,
litransproqa,participant_strict_by_language,268,40,84,144,-0.16417910447761194,fr
litransproqa,participant_strict_by_language,248,39,69,140,-0.12096774193548387,ja
litransproqa,participant_strict_by_language,256,31,53,172,-0.0859375,pl
metricx-qe,participant_strict_by_language,268,123,145,0,-0.08208955223880597,fr
metricx-qe,participant_strict_by_language,248,119,129,0,-0.04032258064516129,ja
metricx-qe,participant_strict_by_language,254,114,140,0,-0.10236220472440945,pl
litransproqa,litransproqa_similar_quality_as_tie_by_language,268,24,62,182,-0.1417910447761194,fr
litransproqa,litransproqa_similar_quality_as_tie_by_language,248,27,57,164,-0.12096774193548387,ja
litransproqa,litransproqa_similar_quality_as_tie_by_language,256,10,40,206,-0.1171875,pl
litransproqa,chunk_majority_by_language,134,5,27,102,-0.16417910447761194,fr
litransproqa,chunk_majority_by_language,124,15,30,79,-0.12096774193548387,ja
litransproqa,chunk_majority_by_language,128,6,17,105,-0.0859375,pl
metricx-qe,chunk_majority_by_language,134,32,43,59,-0.08208955223880597,fr
metricx-qe,chunk_majority_by_language,124,48,53,23,-0.04032258064516129,ja
metricx-qe,chunk_majority_by_language,127,28,41,58,-0.10236220472440945,pl
litransproqa,human_agreed_chunks_strict_by_language,75,5,27,43,-0.29333333333333333,fr
litransproqa,human_agreed_chunks_strict_by_language,101,15,30,56,-0.1485148514851485,ja
litransproqa,human_agreed_chunks_strict_by_language,70,6,17,47,-0.15714285714285714,pl
metricx-qe,human_agreed_chunks_strict_by_language,75,32,43,0,-0.14666666666666667,fr
metricx-qe,human_agreed_chunks_strict_by_language,101,48,53,0,-0.04950495049504951,ja
metricx-qe,human_agreed_chunks_strict_by_language,69,28,41,0,-0.18840579710144928,pl
